bertopic_topic_id,size,top_10_words,exemplar_titles
0,181,the|and|of|to|in|for|is|that|climate|on,"This is Britain on heat pumps: how a nationwide switch could help our planet|NSW may be forced to pay $150m a year to extend life of coal-fired plant, energy|Environment secretary’s appeal against Yorkshire river pollution ruling fails"
1,82,the|to|bank|of|its|in|and|that|it|for,"Clothing shortages, food waste and millions lost each day: inside the M&S cyber-|Steadfast Group announces review after Four Corners report alleged brokers hid c|English Heritage chief steps down after overseeing controversial cost cuts"
2,81,vaccine|covid|the|in|vaccines|of|to|and|that|is,"Junk science, vaccine refusers and the return of smallpox: what worries one of A|Public health experts excoriate Canada Covid response and call for inquiry|Coronavirus strain from Spain accounts for most UK cases – study"
3,64,schools|school|students|education|to|the|of|and|in|for,"Sunak’s maths to 18 plan ‘misguided’, says man asked to promote it|Florida university to host extremist after DeSantis-led lurch to right|‘They don’t work’: experts criticise Liz Truss’s grammar schools plan"
4,63,trump|the|to|in|and|of|that|his|president|he,"Tuesday briefing: What the death of Ebrahim Raisi means for Iran’s political fut|Harris faces triple trouble, even before October’s inevitable surprises|Elon Musk opened a diner in Hollywood. What could go wrong? I went to find out"
5,52,drug|patients|trial|the|in|of|cancer|covid|is|19,Friday briefing: How a doping scandal could overshadow the Olympics|The Lancet changes editorial policy after hydroxychloroquine Covid study retract|Veterans say report on anti-malaria drug mefloquine downplays side-effects
6,44,mental|health|and|to|people|in|the|of|are|that,Harm from problem gambling in Great Britain ‘may be eight times higher than thou|‘We have to protect people’: Martin Lewis on his fight to stop money worries wor|Labour vows to double number of scanners in hospitals in England
7,42,the|to|of|in|morrison|labor|that|on|and|government,"Thursday briefing: What you need to know about Rachel Reeves’s plans for the eco|Political outsider Stefanos Kasselakis wins race to lead Greece’s Syriza|Campaign catchup: Letters from the future, five Ed Stones, and a massive McDonal"
8,39,the|to|detention|home|in|immigration|and|asylum|of|refugees,"Home affairs savaged by Australian audit office for poor oversight of dodgy migr|‘No results, no hope’: Homes for Ukraine glitches lock refugees out of UK|Ukraine refugees staying with UK hosts not cleared by DBS criminal record checks"
9,37,the|abc|to|and|of|that|news|in|it|was,"Death of MasterChef judge Jock Zonfrillo sparks frenzy of tabloid intrusion | We|Alan Tudge’s adviser placed stories in ‘friendly media’ to ‘shut down’ robodebt |‘Systemically, seriously wrong’: the 20-year quest to reveal Post Office IT scan"
10,34,he|the|to|of|his|labour|in|and|that|was,"Campaign catchup: Debate looming, Farage soaking, Whitby Woman rebelling|Rish! drowns in despair as water minister finds herself way out her depth | John|This Morning’s stand-ins make mincemeat of Rish!’s record | John Crace"
11,33,carers|carer|allowance|dwp|earnings|unpaid|to|overpayments|the|of,"‘Something has gone very wrong’: how the carers scandal was exposed|Half a million unpaid carers in UK not claiming £4,200 a year benefit|‘A dent in our retirement’: the battle to help Australian workers recover unpaid"
12,30,gender|and|the|to|of|children|nhs|in|cass|puberty,Why the Tavistock gender identity clinic was forced to shut ... and what happens|Does single-sex education really provide better outcomes for students?|‘Equality is not negotiable’: the schools embracing gender diversity
13,28,police|of|the|and|rape|in|women|violence|cases|to,"Financial abuse can follow victims long after relationships end. Australian expe|Thursday briefing: What a new report reveals about the mothers being killed by t|Met police found to be institutionally racist, misogynistic and homophobic"
14,27,facebook|the|to|and|of|that|on|content|in|media,‘No man will touch me until I have my rights back’: why is the 4B movement going|Sydney church stabbing: social media pages ‘infamous’ for spreading misinformati|‘There’s a gay bar in my pocket!’: how 15 years of Grindr has affected gay commu
15,26,rail|the|to|project|and|line|said|of|inland|on,‘Proper exciting’: passenger trains to return to Northumberland Line after 60 ye|Britain must open a new chapter in its relationship with Africa|Sydney trains delays: Minns warns commuters to brace for long waits as city batt
16,25,unrwa|israel|israeli|gaza|the|un|nuclear|iran|to|in,Pope condemns Gaza war’s ‘barbarity’ as 93 reported killed by Israeli fire while|BBC apologises for ‘significant and damaging’ mistakes in Gaza film|Israel launches ‘limited ground operation’ to retake Netzarim corridor in Gaza
17,25,council|the|of|to|councils|local|and|in|for|it,‘It was a case study for what not to do’: the regeneration project that became a|Ownerless Scottish properties to be handed to local communities|Want levelling up? Stop running everything from London | Letters
18,23,police|the|youth|children|of|in|and|to|young|crime,New Zealand government rejects Ardern-era bid to lower voting age|Sick and suicidal children held in Queensland police watch houses for weeks with|AFP and Asio warn of ‘shocking’ numbers of teens in terrorism cases
19,22,was|the|he|to|and|his|she|of|her|in,NHS trusts criticised over system that films mental health patients in their bed|Life on ‘Mars’: the strangers pretending to colonize the planet – in Utah|‘I don’t intend to let my son down twice’: the bereaved father trying to end sui
20,22,drug|drugs|of|and|the|in|cannabis|to|for|that,"CIA experiments, Mormon ravers and reformed racists: the untold history of MDMA|UK online pharmacies accused of 'aggressive' tactics to sell opiates|Legalising cannabis adds $3.6bn to Australian economy, budget office says"
21,21,voice|indigenous|the|to|aboriginal|referendum|and|treaty|of|government,"Five Great Reads: Joan Collins, William the Conqueror and one of the world’s mos|How a conservative US network undermined Indigenous energy rights in Canada|Governments are leaving ‘heavy lifting’ on Closing the Gap to underresourced Abo"
22,20,weight|diet|exercise|and|of|diabetes|the|to|in|that,British doctor pioneers low-carb diet as cure for obesity and type 2 diabetes|Scientists on panel defending ultra-processed foods linked to food firms|NHS ‘soup and shake’ diet puts almost a third of type 2 diabetes cases in remiss
23,18,prison|justice|of|the|sentences|probation|to|prisoners|and|in,"Prison careers service cuts criticised by charities|Justice ministry knew court IT systems were ‘obsolete’, papers reveal|Ministers dismiss claim UK government may rent prison space in Estonia"
24,18,and|is|of|are|to|the|that|what|in|they,Where science meets fiction: the dark history of eugenics|Homeopathy: MPs on science committee grill experts | Live blog|When is a randomised controlled trial appropriate for your charity?
25,18,pandemic|the|sage|covid|scientific|and|in|of|was|to,‘A case study in groupthink’: were liberals wrong about the pandemic?|Breaking point: the week when ministers struggled to keep pace with Covid-19 cri|Dominic Cummings: The feared T-shirt technocrat who scorns the political class
26,17,eu|the|brexit|to|labour|of|in|britain|european|and,"Trade down, economy sinking, support falling: is the tide finally turning on Bre|Number of UK citizens emigrating to EU has risen by 30% since Brexit vote|Wednesday briefing: Can Macron and Starmer solve the small-boats crisis?"
27,17,bill|mps|assisted|dying|the|leadbeater|to|of|vote|on,"TfL blocks ads calling on people to lobby MPs to decriminalise abortion|‘I’m emotionally ruined’: MPs bitterly divided over assisted dying, with Starmer|As the political clock ticks relentlessly, there is little time for substance ov"
28,17,children|care|the|childcare|to|of|and|in|for|parents,"‘Morally questionable’: compliance element should be scrapped from controversial|‘The whole setup is diabolical’: parents’ fears over childcare costs|Welfare program has 'devastating' impact on single parents, inquiry told"
29,16,ai|to|the|of|is|and|that|in|google|it,"Should big tech be allowed to mine Australians’ text and data to train AI? The P|‘We need to set the terms or we’re all screwed’: how newsrooms are tackling AI’s|‘Every person that clashed with him has left’: the rise, fall and spectacular co"
30,15,china|chinese|zealand|xinjiang|taiwan|the|foreign|new|of|in,"Uyghur rights group calls on hotel chains not to ‘sanitise’ China abuses in Xinj|New Zealand intelligence report accuses China of ‘foreign interference’|As New Zealand reshapes ties with China, foreign interference must be brought ou"
31,14,church|abuse|smyth|welby|of|his|the|to|in|he,"‘It crucifies you every time’: the ‘crushing’ new tactic the church uses to bloc|Scott Morrison's friend, his Indigenous charity and the millions in defence cont|‘A merry-go-round of buck-passing’: inside the four-year Grenfell inquiry"
32,13,gambling|gaming|the|clubs|to|crown|poker|betfair|nsw|for,"Payday lender Cigno’s cash prize lottery raises concerns of consumer groups|Pressure grows on Crown to delay Sydney casino opening while inquiry continues|Anonymous gambling should be allowed in NSW until 2028, leaked report from gover"
33,13,vitamin|of|risk|acid|and|dementia|supplements|study|folic|people,"Healthy social life could ward off dementia, study shows|An omega-3 dose a day could slow ageing process, ‘healthspan’ trial finds|Vitamin D supplements may cut risk of heart attacks, trial suggests"
34,13,trials|patients|of|surgery|the|to|research|that|pain|is,UK government urged to consider changing law to allow gene editing of embryos|UK report reveals bias within medical tools and devices|Elon Musk’s Neuralink approved to recruit humans for brain-implant trial
35,12,care|people|aged|to|for|the|older|in|and|of,"Who are the ‘Waspi women’ and why do they feel betrayed over pensions?|Australia’s aged care overhaul: what are the changes, and will you have to pay m|Victorian health workers offered $3,000 bonuses and free meals"
36,11,ukraine|russia|the|in|of|us|russian|and|to|war,"Wednesday briefing: What’s behind the drone attacks on Russia|Toxins in soil, blasted forests – Ukraine counts cost of Putin’s ‘ecocide’|Zelenskiy to address US Congress and call for no-fly zone | First Thing"
37,10,prevent|shawcross|terrorism|the|of|review|to|and|that|report,Australian media’s racism reckoning: Indigenous journalist quits over ‘unrelenti|UK counter-terrorism report author accused of basing conclusions on ‘handful of |Australia’s official definition of ‘terrorism’ to be reviewed for first time sin
